Time (s),Temporalis,Buccinator,Suprahyoid,Massater
0.0017230510711669922,19,23,42,23
0.0025930404663085938,19,24,42,23
0.00327301025390625,19,24,42,23
0.003951072692871094,19,23,42,23
0.018153905868530273,19,23,42,23
0.03956198692321777,19,23,42,23
0.060758113861083984,19,23,42,23
0.08193302154541016,19,23,42,22
0.10332894325256348,19,23,42,23
0.12442421913146973,19,23,42,23
0.1457231044769287,19,23,42,24
0.16694402694702148,19,23,42,23
0.18825387954711914,19,23,42,23
0.20943999290466309,19,23,42,23
0.23075199127197266,19,23,42,23
0.2520771026611328,19,23,42,23
0.2733330726623535,19,23,43,24
0.29459619522094727,20,23,42,23
0.3157539367675781,20,23,42,23
0.33710789680480957,20,23,42,23
0.3582792282104492,19,23,42,23
0.379622220993042,19,23,43,23
0.4008200168609619,19,23,43,23
0.4221351146697998,19,23,42,23
0.4434471130371094,19,23,43,23
0.4645659923553467,19,23,43,23
0.4859299659729004,20,23,43,23
0.5071291923522949,20,24,42,23
0.5284771919250488,20,23,42,23
0.5496420860290527,20,24,42,23
0.5709240436553955,19,23,42,23
0.5922930240631104,19,23,44,23
0.6134042739868164,19,23,44,23
0.6347582340240479,19,23,48,23
0.6559181213378906,19,23,49,23
0.6772379875183105,19,23,62,23
0.6985809803009033,19,24,77,24
0.7198619842529297,19,23,88,24
0.7411441802978516,19,23,92,24
0.7623002529144287,20,23,82,24
0.7836222648620605,20,23,79,24
0.8048861026763916,20,23,66,23
0.826052188873291,20,24,58,23
0.8473851680755615,20,24,52,23
0.8685760498046875,20,24,48,23
0.8898701667785645,20,24,46,23
0.911060094833374,19,24,45,23
0.9323520660400391,19,23,44,23
0.9537250995635986,19,24,49,23
0.9748420715332031,19,23,47,23
0.9961960315704346,19,23,63,23
1.0177149772644043,19,23,60,23
1.0388169288635254,19,23,61,25
1.0601179599761963,19,23,58,27
1.081252098083496,19,24,79,28
1.1025679111480713,21,25,79,27
1.1236810684204102,21,25,88,25
1.145146131515503,20,25,84,24
1.1663169860839844,20,27,107,24
1.187704086303711,19,27,109,24
1.2089409828186035,19,30,157,25
1.23020601272583,19,30,139,24
1.2515819072723389,19,29,139,24
1.2730281352996826,19,28,139,24
1.294497013092041,19,28,104,23
1.315420150756836,19,27,98,23
1.3369309902191162,19,27,83,24
1.358051061630249,19,30,76,24
1.3794312477111816,19,30,81,26
1.4005610942840576,19,33,85,27
1.4218401908874512,19,35,74,26
1.4430639743804932,19,35,70,26
1.4642970561981201,19,33,78,25
1.4857771396636963,19,31,87,25
1.5068962574005127,19,43,91,27
1.5283100605010986,19,41,146,26
1.5495421886444092,20,35,207,25
1.5709199905395508,20,30,172,24
1.5921540260314941,20,29,164,24
1.6135401725769043,20,27,196,23
1.6348421573638916,20,26,228,23
1.6562302112579346,19,26,177,23
1.67753005027771,19,25,152,23
1.6989119052886963,20,25,149,24
1.720008134841919,20,24,167,25
1.7414042949676514,20,24,183,25
1.7627582550048828,20,24,142,25
1.784034013748169,20,24,109,24
1.8053860664367676,19,24,91,25
1.8265390396118164,19,24,73,25
1.8478870391845703,19,25,66,24
1.8690290451049805,19,24,59,24
1.8903889656066895,19,25,76,24
1.911517858505249,19,25,94,23
1.9330129623413086,19,25,110,24
1.9541831016540527,19,24,95,24
1.975445032119751,19,25,79,24
1.996608018875122,19,26,82,24
2.0179262161254883,19,25,70,23
2.0390920639038086,19,25,71,23
2.060453176498413,19,24,68,23
2.081860065460205,19,24,71,23
2.10292911529541,19,24,84,23
2.1242291927337646,19,24,85,23
2.145591974258423,19,26,119,24
2.166934013366699,19,30,122,23
2.1883811950683594,19,28,147,24
2.2094199657440186,19,28,192,24
2.230821132659912,19,29,188,25
2.252101182937622,19,35,157,24
2.273496150970459,19,38,160,25
2.2948250770568848,19,37,123,24
2.3160440921783447,19,38,123,24
2.3374571800231934,19,38,106,24
2.3586699962615967,19,33,87,24
2.3799710273742676,19,35,103,24
2.4012410640716553,19,32,113,24
2.422624111175537,20,36,118,24
2.4439170360565186,20,34,168,23
2.465287208557129,19,33,207,23
2.4866721630096436,19,32,210,23
2.508129119873047,20,32,172,24
2.5293428897857666,20,32,134,23
2.5505330562591553,19,32,105,24
2.571834087371826,19,33,89,24
2.5930428504943848,19,34,74,24
2.614279270172119,19,31,73,24
2.6356201171875,19,30,71,23
2.6568050384521484,19,29,75,23
2.678057909011841,19,28,78,24
2.6992170810699463,19,27,67,24
2.720628023147583,19,26,76,24
2.7419209480285645,19,25,80,23
2.7632200717926025,20,25,111,24
2.7846500873565674,21,25,129,27
2.805880069732666,21,26,115,29
2.827116012573242,20,25,96,30
2.848407030105591,20,26,77,32
2.8694870471954346,20,29,67,33
2.890855073928833,20,27,64,37
2.9120230674743652,19,26,60,34
2.9333560466766357,19,25,83,31
2.9547951221466064,19,27,131,29
2.9760310649871826,19,26,121,28
2.9973530769348145,19,26,100,27
3.018493890762329,19,25,87,26
3.039850950241089,19,24,78,25
3.0610101222991943,19,24,65,24
3.082366943359375,19,24,86,24
3.1037580966949463,19,24,76,23
3.1248440742492676,19,24,67,23
3.1461639404296875,19,24,60,23
3.1672980785369873,19,24,61,23
3.1886630058288574,19,23,71,24
3.2099761962890625,19,24,75,25
3.231117010116577,19,24,66,26
3.2524709701538086,19,24,63,25
3.2736198902130127,19,24,64,24
3.294975996017456,19,26,62,24
3.31610107421875,19,26,63,25
3.3377251625061035,20,25,110,24
3.358811140060425,19,30,124,25
3.380199909210205,20,39,119,25
3.401484966278076,29,67,160,24
3.422788143157959,26,62,139,28
3.444409132003784,28,125,121,32
